candidate,block_length,metric,point,low,high,delta_vs_rf,delta_low,delta_high,valid_replicates
dummy_prior,20,ap,0.0612244897959183,0.0331632653061224,0.0943877551020408,-0.032252691679419,-0.1449089938148428,0.0053195039901795,2000
dummy_prior,20,top10_capture,0.125,0.0,0.3125,-0.0833333333333333,-0.2857142857142857,0.1666666666666666,2000
dummy_prior,20,top10_precision,0.075,0.0,0.1506249999999966,-0.05,-0.1999999999999999,0.075,2000
dummy_prior,20,top10_lift,1.225,0.0,3.0625000000000004,-0.8166666666666664,-2.8,1.633333333333333,2000
l1_logistic_c_0.01,20,ap,0.0946915266680257,0.0529454684886942,0.1868755916319206,0.0012143451926883,-0.1018290127175983,0.0900796524607288,2000
l1_logistic_c_0.01,20,top10_capture,0.1666666666666666,0.0399615384615384,0.375,-0.0416666666666666,-0.238095238095238,0.1875,2000
l1_logistic_c_0.01,20,top10_precision,0.1,0.025,0.2,-0.0249999999999999,-0.15,0.0999999999999999,2000
l1_logistic_c_0.01,20,top10_lift,1.6333333333333335,0.3916230769230769,3.675,-0.408333333333333,-2.333333333333333,1.8375,2000
random_forest_depth_none_leaf_8,20,ap,0.0934771814753373,0.0406100780984778,0.2148070846225804,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,20,top10_capture,0.2083333333333333,0.0454545454545454,0.3929041353383456,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,20,top10_precision,0.125,0.025,0.25,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,20,top10_lift,2.0416666666666665,0.4454545454545455,3.8504605263157874,0.0,0.0,0.0,2000
dummy_prior,10,ap,0.0612244897959183,0.0331632653061224,0.0943877551020408,-0.032252691679419,-0.1504947963707697,0.0047026772240124,2000
dummy_prior,10,top10_capture,0.125,0.0,0.3076923076923077,-0.0833333333333333,-0.3125,0.1818181818181818,2000
dummy_prior,10,top10_precision,0.075,0.0,0.175,-0.05,-0.2,0.075,2000
dummy_prior,10,top10_lift,1.225,0.0,3.0153846153846158,-0.8166666666666664,-3.0625000000000004,1.7818181818181815,2000
l1_logistic_c_0.01,10,ap,0.0946915266680257,0.053091463321668,0.1910724314871315,0.0012143451926883,-0.0962249121638577,0.0980034187541224,2000
l1_logistic_c_0.01,10,top10_capture,0.1666666666666666,0.0344540229885057,0.3751488095238087,-0.0416666666666666,-0.238095238095238,0.2,2000
l1_logistic_c_0.01,10,top10_precision,0.1,0.025,0.2,-0.0249999999999999,-0.175,0.0999999999999999,2000
l1_logistic_c_0.01,10,top10_lift,1.6333333333333335,0.3376494252873563,3.6764583333333256,-0.408333333333333,-2.333333333333333,1.96,2000
random_forest_depth_none_leaf_8,10,ap,0.0934771814753373,0.0404898603102526,0.2148132593072705,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,10,top10_capture,0.2083333333333333,0.0476190476190476,0.392884199134199,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,10,top10_precision,0.125,0.025,0.25,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,10,top10_lift,2.0416666666666665,0.4666666666666667,3.8502651515151514,0.0,0.0,0.0,2000
dummy_prior,40,ap,0.0612244897959183,0.0306122448979591,0.096938775510204,-0.032252691679419,-0.1417850952923148,0.0031909091155989,2000
dummy_prior,40,top10_capture,0.125,0.0,0.3333333333333333,-0.0833333333333333,-0.2667307692307691,0.1666666666666666,2000
dummy_prior,40,top10_precision,0.075,0.0,0.175,-0.05,-0.175,0.075,2000
dummy_prior,40,top10_lift,1.225,0.0,3.266666666666667,-0.8166666666666664,-2.6139615384615387,1.6333333333333333,2000
l1_logistic_c_0.01,40,ap,0.0946915266680257,0.0503214660960487,0.1790819095138001,0.0012143451926883,-0.099187803185367,0.0867807115998139,2000
l1_logistic_c_0.01,40,top10_capture,0.1666666666666666,0.0416666666666666,0.3809523809523809,-0.0416666666666666,-0.2286263736263735,0.1764705882352941,2000
l1_logistic_c_0.01,40,top10_precision,0.1,0.025,0.2,-0.0249999999999999,-0.15,0.075,2000
l1_logistic_c_0.01,40,top10_lift,1.6333333333333335,0.4083333333333334,3.733333333333334,-0.408333333333333,-2.2405384615384616,1.7294117647058822,2000
random_forest_depth_none_leaf_8,40,ap,0.0934771814753373,0.038977837705627,0.2094842160620448,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,40,top10_capture,0.2083333333333333,0.0665625,0.391304347826087,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,40,top10_precision,0.125,0.025,0.225,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,40,top10_lift,2.0416666666666665,0.6523125000000001,3.834782608695652,0.0,0.0,0.0,2000
