candidate,period,start,end,n,fail,ap,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift
dummy_prior,1,2008-09-29 11:53:00,2008-10-03 12:31:00,98,8,0.0816326530612244,0.1,10.0,0.0,8.0,0.0,10.0,0.0,0.1020408163265306,0.0
dummy_prior,2,2008-10-03 18:45:00,2008-10-06 17:26:00,98,12,0.1224489795918367,0.1,10.0,0.0,12.0,0.0,10.0,0.0,0.1020408163265306,0.0
dummy_prior,3,2008-10-06 17:26:00,2008-10-12 02:59:00,98,3,0.0306122448979591,0.1,10.0,0.0,3.0,0.0,10.0,0.0,0.1020408163265306,0.0
dummy_prior,4,2008-10-12 03:21:00,2008-10-17 06:07:00,98,1,0.010204081632653,0.1,10.0,0.0,1.0,0.0,10.0,0.0,0.1020408163265306,0.0
l1_logistic_c_0.01,1,2008-09-29 11:53:00,2008-10-03 12:31:00,98,8,0.1323075331086488,0.1,10.0,2.0,8.0,0.25,8.0,0.2,0.1020408163265306,2.45
l1_logistic_c_0.01,2,2008-10-03 18:45:00,2008-10-06 17:26:00,98,12,0.183914139225248,0.1,10.0,1.0,12.0,0.0833333333333333,9.0,0.1,0.1020408163265306,0.8166666666666668
l1_logistic_c_0.01,3,2008-10-06 17:26:00,2008-10-12 02:59:00,98,3,0.0297163633857182,0.1,10.0,0.0,3.0,0.0,10.0,0.0,0.1020408163265306,0.0
l1_logistic_c_0.01,4,2008-10-12 03:21:00,2008-10-17 06:07:00,98,1,0.5,0.1,10.0,1.0,1.0,1.0,9.0,0.1,0.1020408163265306,9.8
random_forest_depth_none_leaf_8,1,2008-09-29 11:53:00,2008-10-03 12:31:00,98,8,0.1048478307072847,0.1,10.0,1.0,8.0,0.125,9.0,0.1,0.1020408163265306,1.225
random_forest_depth_none_leaf_8,2,2008-10-03 18:45:00,2008-10-06 17:26:00,98,12,0.2150829331272891,0.1,10.0,3.0,12.0,0.25,7.0,0.3,0.1020408163265306,2.45
random_forest_depth_none_leaf_8,3,2008-10-06 17:26:00,2008-10-12 02:59:00,98,3,0.033502684522645,0.1,10.0,0.0,3.0,0.0,10.0,0.0,0.1020408163265306,0.0
random_forest_depth_none_leaf_8,4,2008-10-12 03:21:00,2008-10-17 06:07:00,98,1,0.2,0.1,10.0,1.0,1.0,1.0,9.0,0.1,0.1020408163265306,9.8
