candidate,scope,value,n,fail,ap,top10_capture,top10_precision,top10_lift
dummy,day,2020-10-29,454,0,,,0.0,
dummy,day,2020-10-30,755,0,,,0.0,
dummy,day,2020-11-03,926,1,0.0010799136069114472,0.0,0.0,0.0
dummy,day,2020-11-04,71,7,0.09859154929577464,0.0,0.0,0.0
dummy,day,2020-11-05,2,0,,,0.0,
dummy,day,2020-11-06,1,0,,,0.0,
dummy,PART_NAME,CN7 W/S SIDE MLD'G LH,1066,1,0.0009380863039399625,0.0,0.0,0.0
dummy,PART_NAME,CN7 W/S SIDE MLD'G RH,1069,0,,,0.0,
dummy,PART_NAME,"RG3 MOLD'G W/SHLD, LH",37,5,0.13513513513513514,0.0,0.0,0.0
dummy,PART_NAME,"RG3 MOLD'G W/SHLD, RH",37,2,0.05405405405405406,0.0,0.0,0.0
logistic,day,2020-10-29,454,0,,,0.0,
logistic,day,2020-10-30,755,0,,,0.0,
logistic,day,2020-11-03,926,1,0.0010799136069114472,0.0,0.0,0.0
logistic,day,2020-11-04,71,7,0.09859154929577464,0.0,0.0,0.0
logistic,day,2020-11-05,2,0,,,0.0,
logistic,day,2020-11-06,1,0,,,0.0,
logistic,PART_NAME,CN7 W/S SIDE MLD'G LH,1066,1,0.000945179584120983,0.0,0.0,0.0
logistic,PART_NAME,CN7 W/S SIDE MLD'G RH,1069,0,,,0.0,
logistic,PART_NAME,"RG3 MOLD'G W/SHLD, LH",37,5,0.13513513513513514,0.0,0.0,0.0
logistic,PART_NAME,"RG3 MOLD'G W/SHLD, RH",37,2,0.05405405405405406,0.0,0.0,0.0
rf,day,2020-10-29,454,0,,,0.0,
rf,day,2020-10-30,755,0,,,0.0,
rf,day,2020-11-03,926,1,0.0014705882352941176,0.0,0.0,0.0
rf,day,2020-11-04,71,7,0.18166619095190523,0.2857142857142857,0.25,2.535714285714286
rf,day,2020-11-05,2,0,,,0.0,
rf,day,2020-11-06,1,0,,,0.0,
rf,PART_NAME,CN7 W/S SIDE MLD'G LH,1066,1,0.0024813895781637717,0.0,0.0,0.0
rf,PART_NAME,CN7 W/S SIDE MLD'G RH,1069,0,,,0.0,
rf,PART_NAME,"RG3 MOLD'G W/SHLD, LH",37,5,0.13595238095238096,0.0,0.0,0.0
rf,PART_NAME,"RG3 MOLD'G W/SHLD, RH",37,2,0.41666666666666663,1.0,0.5,9.25
