candidate,metric,point,low,high,delta_dummy,delta_low,delta_high,valid_replicates
dummy,ap,0.0036215482118605704,0.00031318509238960227,0.037840397908056905,0.0,0.0,0.0,1839
dummy,top10_capture,0.0,0.0,0.0,0.0,0.0,0.0,1839
dummy,top10_precision,0.0,0.0,0.0,0.0,0.0,0.0,2000
dummy,top10_lift,0.0,0.0,0.0,0.0,0.0,0.0,1839
logistic,ap,0.003651300775901415,0.0003155569580309246,0.03835879512185956,2.975256404084449e-05,0.0,0.00025790668199369114,1839
logistic,top10_capture,0.0,0.0,0.0,0.0,0.0,0.0,1839
logistic,top10_precision,0.0,0.0,0.0,0.0,0.0,0.0,2000
logistic,top10_lift,0.0,0.0,0.0,0.0,0.0,0.0,1839
rf,ap,0.049528132773610116,0.0010869565217391304,0.17800988484190688,0.04590658456174954,0.0005802293728231422,0.15785118599457842,1839
rf,top10_capture,0.25,0.0,1.0,0.25,0.0,1.0,1839
rf,top10_precision,0.00904977375565611,0.0,0.08955223880597014,0.00904977375565611,0.0,0.08955223880597014,2000
rf,top10_lift,2.4988687782805434,0.0,9.991465404121005,2.4988687782805434,0.0,9.991465404121005,1839
