candidate,day,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift,ap
product_prior,2020-10-22,0.1,60.0,1.0,15.0,0.06666666666666667,59.0,0.016666666666666666,0.1,0.6666666666666666,0.025
product_prior,2020-10-23,0.1,50.0,3.0,10.0,0.3,47.0,0.06,0.1,3.0,0.04
product_prior,2020-10-27,0.1,63.0,5.0,10.0,0.5,58.0,0.07936507936507936,0.10031847133757962,4.984126984126984,0.01592356687898089
logistic,2020-10-22,0.1,60.0,1.0,15.0,0.06666666666666667,59.0,0.016666666666666666,0.1,0.6666666666666666,0.02563516062269155
logistic,2020-10-23,0.1,50.0,1.0,10.0,0.1,49.0,0.02,0.1,1.0,0.03853990688343463
logistic,2020-10-27,0.1,63.0,0.0,10.0,0.0,63.0,0.0,0.10031847133757962,0.0,0.008935190154431618
rf,2020-10-22,0.1,60.0,1.0,15.0,0.06666666666666667,59.0,0.016666666666666666,0.1,0.6666666666666666,0.025087719298245614
rf,2020-10-23,0.1,50.0,2.0,10.0,0.2,48.0,0.04,0.1,2.0,0.1326435251524586
rf,2020-10-27,0.1,63.0,4.0,10.0,0.4,59.0,0.06349206349206349,0.10031847133757962,3.987301587301587,0.2407037662661559
clipped_logistic,2020-10-22,0.1,60.0,1.0,15.0,0.06666666666666667,59.0,0.016666666666666666,0.1,0.6666666666666666,0.024028212810141603
clipped_logistic,2020-10-23,0.1,50.0,1.0,10.0,0.1,49.0,0.02,0.1,1.0,0.03715507208007885
clipped_logistic,2020-10-27,0.1,63.0,0.0,10.0,0.0,63.0,0.0,0.10031847133757962,0.0,0.008944603397201342
rf_no_product,2020-10-22,0.1,60.0,1.0,15.0,0.06666666666666667,59.0,0.016666666666666666,0.1,0.6666666666666666,0.022293187347931877
rf_no_product,2020-10-23,0.1,50.0,1.0,10.0,0.1,49.0,0.02,0.1,1.0,0.040179226789392
rf_no_product,2020-10-27,0.1,63.0,8.0,10.0,0.8,55.0,0.12698412698412698,0.10031847133757962,7.974603174603174,0.673733583489681
