candidate,excluded_day,n,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift,ap
product_prior,2020-10-29,1755,0.1,176.0,2.0,8.0,0.25,174.0,0.011363636363636364,0.10028490028490028,2.4928977272727275,0.01658079342887259
product_prior,2020-10-30,1454,0.1,146.0,2.0,8.0,0.25,144.0,0.0136986301369863,0.10041265474552957,2.48972602739726,0.01721694667286076
product_prior,2020-11-03,1283,0.1,129.0,2.0,7.0,0.2857142857142857,127.0,0.015503875968992248,0.10054559625876851,2.841638981173865,0.01934113157807624
product_prior,2020-11-04,2138,0.1,214.0,0.0,1.0,0.0,214.0,0.0,0.10009354536950421,0.0,0.00046816479400749064
product_prior,2020-11-05,2207,0.1,221.0,2.0,8.0,0.25,219.0,0.00904977375565611,0.10013593112822837,2.496606334841629,0.01632713915285157
product_prior,2020-11-06,2208,0.1,221.0,2.0,8.0,0.25,219.0,0.00904977375565611,0.10009057971014493,2.497737556561086,0.01595065820083836
logistic,2020-10-29,1755,0.1,176.0,0.0,8.0,0.0,176.0,0.0,0.10028490028490028,0.0,0.0045792787635947334
logistic,2020-10-30,1454,0.1,146.0,0.0,8.0,0.0,146.0,0.0,0.10041265474552957,0.0,0.00554016620498615
logistic,2020-11-03,1283,0.1,129.0,0.0,7.0,0.0,129.0,0.0,0.10054559625876851,0.0,0.005533596837944664
logistic,2020-11-04,2138,0.1,214.0,0.0,1.0,0.0,214.0,0.0,0.10009354536950421,0.0,0.0004716981132075472
logistic,2020-11-05,2207,0.1,221.0,0.0,8.0,0.0,221.0,0.0,0.10013593112822837,0.0,0.003654636820465966
logistic,2020-11-06,2208,0.1,221.0,0.0,8.0,0.0,221.0,0.0,0.10009057971014493,0.0,0.0036529680365296802
rf,2020-10-29,1755,0.1,176.0,2.0,8.0,0.25,174.0,0.011363636363636364,0.10028490028490028,2.4928977272727275,0.0498418211155677
rf,2020-10-30,1454,0.1,146.0,2.0,8.0,0.25,144.0,0.0136986301369863,0.10041265474552957,2.48972602739726,0.07799623313558487
rf,2020-11-03,1283,0.1,129.0,7.0,7.0,1.0,122.0,0.05426356589147287,0.10054559625876851,9.945736434108527,0.09811677784158573
rf,2020-11-04,2138,0.1,214.0,0.0,1.0,0.0,214.0,0.0,0.10009354536950421,0.0,0.0012345679012345679
rf,2020-11-05,2207,0.1,221.0,2.0,8.0,0.25,219.0,0.00904977375565611,0.10013593112822837,2.496606334841629,0.049557639153865365
rf,2020-11-06,2208,0.1,221.0,2.0,8.0,0.25,219.0,0.00904977375565611,0.10009057971014493,2.497737556561086,0.049529422630178066
clipped_logistic,2020-10-29,1755,0.1,176.0,2.0,8.0,0.25,174.0,0.011363636363636364,0.10028490028490028,2.4928977272727275,0.019638664267312252
clipped_logistic,2020-10-30,1454,0.1,146.0,2.0,8.0,0.25,144.0,0.0136986301369863,0.10041265474552957,2.48972602739726,0.02023481229724304
clipped_logistic,2020-11-03,1283,0.1,129.0,7.0,7.0,1.0,122.0,0.05426356589147287,0.10054559625876851,9.945736434108527,0.06452626486527384
clipped_logistic,2020-11-04,2138,0.1,214.0,0.0,1.0,0.0,214.0,0.0,0.10009354536950421,0.0,0.001869158878504673
clipped_logistic,2020-11-05,2207,0.1,221.0,2.0,8.0,0.25,219.0,0.00904977375565611,0.10013593112822837,2.496606334841629,0.019800831264875425
clipped_logistic,2020-11-06,2208,0.1,221.0,2.0,8.0,0.25,219.0,0.00904977375565611,0.10009057971014493,2.497737556561086,0.019555674723242482
rf_no_product,2020-10-29,1755,0.1,176.0,4.0,8.0,0.5,172.0,0.022727272727272728,0.10028490028490028,4.985795454545455,0.027517885350160358
rf_no_product,2020-10-30,1454,0.1,146.0,4.0,8.0,0.5,142.0,0.0273972602739726,0.10041265474552957,4.97945205479452,0.02883288467722158
rf_no_product,2020-11-03,1283,0.1,129.0,7.0,7.0,1.0,122.0,0.05426356589147287,0.10054559625876851,9.945736434108527,0.06326222482355473
rf_no_product,2020-11-04,2138,0.1,214.0,0.0,1.0,0.0,214.0,0.0,0.10009354536950421,0.0,0.001610305958132045
rf_no_product,2020-11-05,2207,0.1,221.0,6.0,8.0,0.75,215.0,0.027149321266968326,0.10013593112822837,7.489819004524887,0.025121422712018268
rf_no_product,2020-11-06,2208,0.1,221.0,6.0,8.0,0.75,215.0,0.027149321266968326,0.10009057971014493,7.493212669683258,0.025168229285716787
