candidate,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift,ap
product_prior,0.05,111.0,2.0,8.0,0.25,109.0,0.018018018018018018,0.05024898143956542,4.975225225225225,0.015949633079628028
product_prior,0.1,221.0,2.0,8.0,0.25,219.0,0.00904977375565611,0.10004526935264826,2.4988687782805434,0.015949633079628028
product_prior,0.2,442.0,2.0,8.0,0.25,440.0,0.004524886877828055,0.20009053870529653,1.2494343891402717,0.015949633079628028
logistic,0.05,111.0,0.0,8.0,0.0,111.0,0.0,0.05024898143956542,0.0,0.003651300775901415
logistic,0.1,221.0,0.0,8.0,0.0,221.0,0.0,0.10004526935264826,0.0,0.003651300775901415
logistic,0.2,442.0,0.0,8.0,0.0,442.0,0.0,0.20009053870529653,0.0,0.003651300775901415
rf,0.05,111.0,2.0,8.0,0.25,109.0,0.018018018018018018,0.05024898143956542,4.975225225225225,0.049528132773610116
rf,0.1,221.0,2.0,8.0,0.25,219.0,0.00904977375565611,0.10004526935264826,2.4988687782805434,0.049528132773610116
rf,0.2,442.0,7.0,8.0,0.875,435.0,0.01583710407239819,0.20009053870529653,4.3730203619909505,0.049528132773610116
clipped_logistic,0.05,111.0,2.0,8.0,0.25,109.0,0.018018018018018018,0.05024898143956542,4.975225225225225,0.019555674723242482
clipped_logistic,0.1,221.0,2.0,8.0,0.25,219.0,0.00904977375565611,0.10004526935264826,2.4988687782805434,0.019555674723242482
clipped_logistic,0.2,442.0,2.0,8.0,0.25,440.0,0.004524886877828055,0.20009053870529653,1.2494343891402717,0.019555674723242482
rf_no_product,0.05,111.0,3.0,8.0,0.375,108.0,0.02702702702702703,0.05024898143956542,7.462837837837839,0.025117234054901738
rf_no_product,0.1,221.0,6.0,8.0,0.75,215.0,0.027149321266968326,0.10004526935264826,7.496606334841629,0.025117234054901738
rf_no_product,0.2,442.0,7.0,8.0,0.875,435.0,0.01583710407239819,0.20009053870529653,4.3730203619909505,0.025117234054901738
