Versuch,target,feature_set,model,train_n,holdout_n,train_target_mean,holdout_target_mean,mae,rmse
20,weight,scalar,train_mean,156,67,115.27943,115.1384,0.39616447,0.41259202
20,weight,scalar,ridge,156,67,115.27943,115.1384,0.27118602,0.30240322
20,weight,scalar,forest,156,67,115.27943,115.1384,0.070519052,0.09106896
20,weight,scalar_plus_curve_summary,train_mean,156,67,115.27943,115.1384,0.39616447,0.41259202
20,weight,scalar_plus_curve_summary,ridge,156,67,115.27943,115.1384,0.29840948,0.32644602
20,weight,scalar_plus_curve_summary,forest,156,67,115.27943,115.1384,0.053602635,0.079155917
20,GE-GE002*,scalar,train_mean,156,67,101480.47,101496.33,41.819939,48.488063
20,GE-GE002*,scalar,ridge,156,67,101480.47,101496.33,44.958025,67.48678
20,GE-GE002*,scalar,forest,156,67,101480.47,101496.33,50.295247,62.107328
20,GE-GE002*,scalar_plus_curve_summary,train_mean,156,67,101480.47,101496.33,41.819939,48.488063
20,GE-GE002*,scalar_plus_curve_summary,ridge,156,67,101480.47,101496.33,46.322031,69.552647
20,GE-GE002*,scalar_plus_curve_summary,forest,156,67,101480.47,101496.33,51.301497,63.880193
20,GERADEHEIT-L*,scalar,train_mean,156,67,620.8141,600.79104,34.184749,40.693412
20,GERADEHEIT-L*,scalar,ridge,156,67,620.8141,600.79104,67.066374,79.396912
20,GERADEHEIT-L*,scalar,forest,156,67,620.8141,600.79104,22.423342,27.367843
20,GERADEHEIT-L*,scalar_plus_curve_summary,train_mean,156,67,620.8141,600.79104,34.184749,40.693412
20,GERADEHEIT-L*,scalar_plus_curve_summary,ridge,156,67,620.8141,600.79104,65.156091,76.588191
20,GERADEHEIT-L*,scalar_plus_curve_summary,forest,156,67,620.8141,600.79104,21.687412,26.4923
20,PT-PT002L*,scalar,train_mean,156,67,1899.4872,1899.5224,8.2717183,9.2629896
20,PT-PT002L*,scalar,ridge,156,67,1899.4872,1899.5224,10.626283,11.287317
20,PT-PT002L*,scalar,forest,156,67,1899.4872,1899.5224,6.1151978,7.010312
20,PT-PT002L*,scalar_plus_curve_summary,train_mean,156,67,1899.4872,1899.5224,8.2717183,9.2629896
20,PT-PT002L*,scalar_plus_curve_summary,ridge,156,67,1899.4872,1899.5224,11.221621,11.862543
20,PT-PT002L*,scalar_plus_curve_summary,forest,156,67,1899.4872,1899.5224,5.8039651,6.5930764
23,weight,scalar,train_mean,212,91,114.24639,114.45091,0.20452058,0.23803352
23,weight,scalar,ridge,212,91,114.24639,114.45091,0.070266702,0.08394012
23,weight,scalar,forest,212,91,114.24639,114.45091,0.12064235,0.15074246
23,weight,scalar_plus_curve_summary,train_mean,212,91,114.24639,114.45091,0.20452058,0.23803352
23,weight,scalar_plus_curve_summary,ridge,212,91,114.24639,114.45091,0.080118808,0.095863981
23,weight,scalar_plus_curve_summary,forest,212,91,114.24639,114.45091,0.10898023,0.13279684
23,GE-GE002*,scalar,train_mean,212,91,101590.53,101702.21,111.68049,114.8455
23,GE-GE002*,scalar,ridge,212,91,101590.53,101702.21,17.103092,22.055184
23,GE-GE002*,scalar,forest,212,91,101590.53,101702.21,27.429086,33.731665
23,GE-GE002*,scalar_plus_curve_summary,train_mean,212,91,101590.53,101702.21,111.68049,114.8455
23,GE-GE002*,scalar_plus_curve_summary,ridge,212,91,101590.53,101702.21,17.113337,22.045329
23,GE-GE002*,scalar_plus_curve_summary,forest,212,91,101590.53,101702.21,24.876699,32.108232
23,GERADEHEIT-L*,scalar,train_mean,212,91,698.87264,785.14286,86.270216,88.342316
23,GERADEHEIT-L*,scalar,ridge,212,91,698.87264,785.14286,20.065114,25.092301
23,GERADEHEIT-L*,scalar,forest,212,91,698.87264,785.14286,17.635179,21.136186
23,GERADEHEIT-L*,scalar_plus_curve_summary,train_mean,212,91,698.87264,785.14286,86.270216,88.342316
23,GERADEHEIT-L*,scalar_plus_curve_summary,ridge,212,91,698.87264,785.14286,21.19263,26.505093
23,GERADEHEIT-L*,scalar_plus_curve_summary,forest,212,91,698.87264,785.14286,17.970595,21.527389
23,PT-PT002L*,scalar,train_mean,212,91,1874.1415,1852.9451,21.196454,21.690654
23,PT-PT002L*,scalar,ridge,212,91,1874.1415,1852.9451,9.332505,10.075281
23,PT-PT002L*,scalar,forest,212,91,1874.1415,1852.9451,9.6398326,10.484798
23,PT-PT002L*,scalar_plus_curve_summary,train_mean,212,91,1874.1415,1852.9451,21.196454,21.690654
23,PT-PT002L*,scalar_plus_curve_summary,ridge,212,91,1874.1415,1852.9451,9.2167069,9.946849
23,PT-PT002L*,scalar_plus_curve_summary,forest,212,91,1874.1415,1852.9451,9.4616117,10.330667
15,weight,scalar,train_mean,212,91,115.68902,116.57724,0.88821817,0.89006737
15,weight,scalar,ridge,212,91,115.68902,116.57724,0.10075563,0.11262973
15,weight,scalar,forest,212,91,115.68902,116.57724,0.14873965,0.16145445
15,weight,scalar_plus_curve_summary,train_mean,212,91,115.68902,116.57724,0.88821817,0.89006737
15,weight,scalar_plus_curve_summary,ridge,212,91,115.68902,116.57724,0.1002311,0.11228971
15,weight,scalar_plus_curve_summary,forest,212,91,115.68902,116.57724,0.15610506,0.16971615
15,GE-GE002*,scalar,train_mean,212,91,101526.25,101600.69,74.447025,76.98552
15,GE-GE002*,scalar,ridge,212,91,101526.25,101600.69,46.307399,52.341701
15,GE-GE002*,scalar,forest,212,91,101526.25,101600.69,31.758896,36.951669
15,GE-GE002*,scalar_plus_curve_summary,train_mean,212,91,101526.25,101600.69,74.447025,76.98552
15,GE-GE002*,scalar_plus_curve_summary,ridge,212,91,101526.25,101600.69,32.195408,38.303319
15,GE-GE002*,scalar_plus_curve_summary,forest,212,91,101526.25,101600.69,30.00614,35.130644
15,GERADEHEIT-L*,scalar,train_mean,212,91,613.16509,633.81319,28.072206,36.994966
15,GERADEHEIT-L*,scalar,ridge,212,91,613.16509,633.81319,26.471983,34.496145
15,GERADEHEIT-L*,scalar,forest,212,91,613.16509,633.81319,25.255774,32.591843
15,GERADEHEIT-L*,scalar_plus_curve_summary,train_mean,212,91,613.16509,633.81319,28.072206,36.994966
15,GERADEHEIT-L*,scalar_plus_curve_summary,ridge,212,91,613.16509,633.81319,25.029931,32.636029
15,GERADEHEIT-L*,scalar_plus_curve_summary,forest,212,91,613.16509,633.81319,25.290184,32.592317
