candidate,block_length,metric,point,low,high,delta_vs_rf,delta_low,delta_high,valid_replicates
dummy_prior,20,ap,0.06122448979591837,0.03316326530612245,0.09438775510204081,-0.032252691679419014,-0.14490899381484287,0.005319503990179527,2000
dummy_prior,20,top10_capture,0.125,0.0,0.3125,-0.08333333333333334,-0.2857142857142857,0.16666666666666666,2000
dummy_prior,20,top10_precision,0.075,0.0,0.1506249999999966,-0.05,-0.19999999999999998,0.075,2000
dummy_prior,20,top10_lift,1.225,0.0,3.0625000000000004,-0.8166666666666664,-2.8,1.633333333333333,2000
l1_logistic_c_0.01,20,ap,0.09469152666802576,0.052945468488694206,0.18687559163192066,0.0012143451926883708,-0.1018290127175983,0.09007965246072883,2000
l1_logistic_c_0.01,20,top10_capture,0.16666666666666666,0.039961538461538465,0.375,-0.041666666666666685,-0.23809523809523808,0.1875,2000
l1_logistic_c_0.01,20,top10_precision,0.1,0.025,0.2,-0.024999999999999994,-0.15000000000000002,0.09999999999999999,2000
l1_logistic_c_0.01,20,top10_lift,1.6333333333333335,0.39162307692307696,3.6750000000000003,-0.408333333333333,-2.3333333333333335,1.8375000000000001,2000
random_forest_depth_none_leaf_8,20,ap,0.09347718147533739,0.0406100780984778,0.21480708462258047,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,20,top10_capture,0.20833333333333334,0.045454545454545456,0.3929041353383456,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,20,top10_precision,0.125,0.025,0.25,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,20,top10_lift,2.0416666666666665,0.4454545454545455,3.8504605263157874,0.0,0.0,0.0,2000
h1_l2_c_0.1,20,ap,0.08763957200163569,0.05356026162440245,0.15065956916021278,-0.0058376094737016965,-0.11292944597455792,0.047809878738681,2000
h1_l2_c_0.1,20,top10_capture,0.125,0.0,0.25,-0.08333333333333334,-0.3125,0.09090909090909091,2000
h1_l2_c_0.1,20,top10_precision,0.075,0.0,0.15,-0.05,-0.19999999999999998,0.05,2000
h1_l2_c_0.1,20,top10_lift,1.225,0.0,2.45,-0.8166666666666664,-3.0625,0.890909090909091,2000
h2_rf_f40,20,ap,0.08009012804025581,0.047630930412814944,0.16477614282853345,-0.013387053435081578,-0.11086042083174756,0.0725820517133522,2000
h2_rf_f40,20,top10_capture,0.125,0.0,0.3,-0.08333333333333334,-0.2903561827956989,0.14285714285714285,2000
h2_rf_f40,20,top10_precision,0.075,0.0,0.175,-0.05,-0.17500000000000002,0.075,2000
h2_rf_f40,20,top10_lift,1.225,0.0,2.94,-0.8166666666666664,-2.8454905913978497,1.4000000000000001,2000
dummy_prior,10,ap,0.06122448979591837,0.03316326530612245,0.09438775510204081,-0.032252691679419014,-0.15049479637076973,0.004702677224012439,2000
dummy_prior,10,top10_capture,0.125,0.0,0.3076923076923077,-0.08333333333333334,-0.3125,0.18181818181818182,2000
dummy_prior,10,top10_precision,0.075,0.0,0.175,-0.05,-0.2,0.07500000000000001,2000
dummy_prior,10,top10_lift,1.225,0.0,3.0153846153846153,-0.8166666666666664,-3.0625000000000004,1.7818181818181817,2000
l1_logistic_c_0.01,10,ap,0.09469152666802576,0.053091463321668066,0.1910724314871315,0.0012143451926883708,-0.0962249121638577,0.09800341875412248,2000
l1_logistic_c_0.01,10,top10_capture,0.16666666666666666,0.03445402298850575,0.3751488095238087,-0.041666666666666685,-0.23809523809523808,0.2,2000
l1_logistic_c_0.01,10,top10_precision,0.1,0.025,0.2,-0.024999999999999994,-0.175,0.09999999999999999,2000
l1_logistic_c_0.01,10,top10_lift,1.6333333333333335,0.33764942528735636,3.6764583333333256,-0.408333333333333,-2.3333333333333335,1.96,2000
random_forest_depth_none_leaf_8,10,ap,0.09347718147533739,0.04048986031025268,0.21481325930727052,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,10,top10_capture,0.20833333333333334,0.047619047619047616,0.392884199134199,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,10,top10_precision,0.125,0.025,0.25,0.0,0.0,0.0,2000
random_forest_depth_none_leaf_8,10,top10_lift,2.0416666666666665,0.46666666666666673,3.8502651515151505,0.0,0.0,0.0,2000
h1_l2_c_0.1,10,ap,0.08763957200163569,0.05411508657926994,0.14594432219009235,-0.0058376094737016965,-0.11239456738068788,0.04693371688833395,2000
h1_l2_c_0.1,10,top10_capture,0.125,0.0,0.25,-0.08333333333333334,-0.3125,0.09527649769585232,2000
h1_l2_c_0.1,10,top10_precision,0.075,0.0,0.15,-0.05,-0.2,0.05,2000
h1_l2_c_0.1,10,top10_lift,1.225,0.0,2.45,-0.8166666666666664,-3.0625,0.933709677419353,2000
h2_rf_f40,10,ap,0.08009012804025581,0.04531815800376003,0.16906522585298125,-0.013387053435081578,-0.11006234025536067,0.08444290735189987,2000
h2_rf_f40,10,top10_capture,0.125,0.0,0.3125822368421048,-0.08333333333333334,-0.3,0.16684782608695556,2000
h2_rf_f40,10,top10_precision,0.075,0.0,0.175,-0.05,-0.2,0.07500000000000001,2000
h2_rf_f40,10,top10_lift,1.225,0.0,3.0633059210526277,-0.8166666666666664,-2.94,1.6351086956521643,2000
dummy_prior,40,ap,0.06122448979591837,0.030612244897959186,0.09693877551020408,-0.032252691679419014,-0.14178509529231487,0.0031909091155989744,2000
dummy_prior,40,top10_capture,0.125,0.0,0.3333333333333333,-0.08333333333333334,-0.26673076923076916,0.16666666666666666,2000
dummy_prior,40,top10_precision,0.075,0.0,0.175,-0.05,-0.175,0.075,2000
dummy_prior,40,top10_lift,1.225,0.0,3.266666666666667,-0.8166666666666664,-2.6139615384615387,1.6333333333333333,2000
l1_logistic_c_0.01,40,ap,0.09469152666802576,0.05032146609604878,0.1790819095138001,0.0012143451926883708,-0.09918780318536702,0.08678071159981396,2000
l1_logistic_c_0.01,40,top10_capture,0.16666666666666666,0.041666666666666664,0.38095238095238093,-0.041666666666666685,-0.22862637362637359,0.1764705882352941,2000
