candidate,period,start,end,n,fail,ap,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift
dummy_prior,1,2008-09-29 11:53:00,2008-10-03 12:31:00,98,8,0.08163265306122448,0.1,10.0,0.0,8.0,0.0,10.0,0.0,0.10204081632653061,0.0
dummy_prior,2,2008-10-03 18:45:00,2008-10-06 17:26:00,98,12,0.12244897959183673,0.1,10.0,0.0,12.0,0.0,10.0,0.0,0.10204081632653061,0.0
dummy_prior,3,2008-10-06 17:26:00,2008-10-12 02:59:00,98,3,0.030612244897959183,0.1,10.0,0.0,3.0,0.0,10.0,0.0,0.10204081632653061,0.0
dummy_prior,4,2008-10-12 03:21:00,2008-10-17 06:07:00,98,1,0.01020408163265306,0.1,10.0,0.0,1.0,0.0,10.0,0.0,0.10204081632653061,0.0
l1_logistic_c_0.01,1,2008-09-29 11:53:00,2008-10-03 12:31:00,98,8,0.13230753310864882,0.1,10.0,2.0,8.0,0.25,8.0,0.2,0.10204081632653061,2.45
l1_logistic_c_0.01,2,2008-10-03 18:45:00,2008-10-06 17:26:00,98,12,0.183914139225248,0.1,10.0,1.0,12.0,0.08333333333333333,9.0,0.1,0.10204081632653061,0.8166666666666668
l1_logistic_c_0.01,3,2008-10-06 17:26:00,2008-10-12 02:59:00,98,3,0.029716363385718224,0.1,10.0,0.0,3.0,0.0,10.0,0.0,0.10204081632653061,0.0
l1_logistic_c_0.01,4,2008-10-12 03:21:00,2008-10-17 06:07:00,98,1,0.5,0.1,10.0,1.0,1.0,1.0,9.0,0.1,0.10204081632653061,9.8
random_forest_depth_none_leaf_8,1,2008-09-29 11:53:00,2008-10-03 12:31:00,98,8,0.1048478307072847,0.1,10.0,1.0,8.0,0.125,9.0,0.1,0.10204081632653061,1.225
random_forest_depth_none_leaf_8,2,2008-10-03 18:45:00,2008-10-06 17:26:00,98,12,0.21508293312728918,0.1,10.0,3.0,12.0,0.25,7.0,0.3,0.10204081632653061,2.45
random_forest_depth_none_leaf_8,3,2008-10-06 17:26:00,2008-10-12 02:59:00,98,3,0.03350268452264504,0.1,10.0,0.0,3.0,0.0,10.0,0.0,0.10204081632653061,0.0
random_forest_depth_none_leaf_8,4,2008-10-12 03:21:00,2008-10-17 06:07:00,98,1,0.2,0.1,10.0,1.0,1.0,1.0,9.0,0.1,0.10204081632653061,9.8
h1_l2_c_0.1,1,2008-09-29 11:53:00,2008-10-03 12:31:00,98,8,0.08180489107007968,0.1,10.0,0.0,8.0,0.0,10.0,0.0,0.10204081632653061,0.0
h1_l2_c_0.1,2,2008-10-03 18:45:00,2008-10-06 17:26:00,98,12,0.2700946471873034,0.1,10.0,2.0,12.0,0.16666666666666666,8.0,0.2,0.10204081632653061,1.6333333333333335
h1_l2_c_0.1,3,2008-10-06 17:26:00,2008-10-12 02:59:00,98,3,0.12380952380952381,0.1,10.0,0.0,3.0,0.0,10.0,0.0,0.10204081632653061,0.0
h1_l2_c_0.1,4,2008-10-12 03:21:00,2008-10-17 06:07:00,98,1,0.1111111111111111,0.1,10.0,1.0,1.0,1.0,9.0,0.1,0.10204081632653061,9.8
h2_rf_f40,1,2008-09-29 11:53:00,2008-10-03 12:31:00,98,8,0.1266778696127574,0.1,10.0,1.0,8.0,0.125,9.0,0.1,0.10204081632653061,1.225
h2_rf_f40,2,2008-10-03 18:45:00,2008-10-06 17:26:00,98,12,0.15632990821369203,0.1,10.0,1.0,12.0,0.08333333333333333,9.0,0.1,0.10204081632653061,0.8166666666666668
h2_rf_f40,3,2008-10-06 17:26:00,2008-10-12 02:59:00,98,3,0.04292929292929293,0.1,10.0,0.0,3.0,0.0,10.0,0.0,0.10204081632653061,0.0
h2_rf_f40,4,2008-10-12 03:21:00,2008-10-17 06:07:00,98,1,0.3333333333333333,0.1,10.0,1.0,1.0,1.0,9.0,0.1,0.10204081632653061,9.8
