candidate,threshold_source,threshold,pr_auc_average_precision,fail_recall,precision,f1,balanced_accuracy,false_alarm_rate,accuracy,tn,fp,fn,tp
dummy_prior,fixed_0.5,0.5,0.061224489795918366,0.0,0.0,0.0,0.5,0.0,0.9387755102040817,368,0,24,0
dummy_prior,train_oof_f2,0.08556832694763729,0.061224489795918366,0.0,0.0,0.0,0.5,0.0,0.9387755102040817,368,0,24,0
l1_logistic_c_0.01,fixed_0.5,0.5,0.09469152666802576,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.5280797101449275,0.02717391304347826,0.9183673469387755,358,10,22,2
l1_logistic_c_0.01,train_oof_f2,0.5000952588851288,0.09469152666802576,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.5280797101449275,0.02717391304347826,0.9183673469387755,358,10,22,2
random_forest_depth_none_leaf_8,fixed_0.5,0.5,0.09347718147533737,0.0,0.0,0.0,0.5,0.0,0.9387755102040817,368,0,24,0
random_forest_depth_none_leaf_8,train_oof_f2,0.14096071686801617,0.09347718147533737,0.25,0.08695652173913043,0.12903225806451613,0.5394021739130435,0.17119565217391305,0.7933673469387755,305,63,18,6
h1_l2_c_0.1,fixed_0.5,0.5,0.0876395720016357,0.041666666666666664,0.04,0.04081632653061224,0.4882246376811594,0.06521739130434782,0.8801020408163265,344,24,23,1
h1_l2_c_0.1,train_oof_f2,0.1848544088257463,0.0876395720016357,0.25,0.08333333333333333,0.125,0.5353260869565217,0.1793478260869565,0.7857142857142857,302,66,18,6
h2_rf_f40,fixed_0.5,0.5,0.08009012804025581,0.0,0.0,0.0,0.5,0.0,0.9387755102040817,368,0,24,0
h2_rf_f40,train_oof_f2,0.11831746753286036,0.08009012804025581,0.5,0.06153846153846154,0.1095890410958904,0.5013586956521738,0.49728260869565216,0.5025510204081632,185,183,12,12
