candidate,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift,random_expected_captured
dummy_prior,0.05,20,2,24,0.08333333333333333,18,0.1,0.05102040816326531,1.6333333333333335,1.2244897959183674
dummy_prior,0.1,40,3,24,0.125,37,0.075,0.10204081632653061,1.225,2.4489795918367347
dummy_prior,0.2,79,7,24,0.2916666666666667,72,0.08860759493670886,0.20153061224489796,1.4472573839662448,4.836734693877551
l1_logistic_c_0.01,0.05,20,3,24,0.125,17,0.15,0.05102040816326531,2.45,1.2244897959183674
l1_logistic_c_0.01,0.1,40,4,24,0.16666666666666666,36,0.1,0.10204081632653061,1.6333333333333335,2.4489795918367347
l1_logistic_c_0.01,0.2,79,7,24,0.2916666666666667,72,0.08860759493670886,0.20153061224489796,1.4472573839662448,4.836734693877551
random_forest_depth_none_leaf_8,0.05,20,4,24,0.16666666666666666,16,0.2,0.05102040816326531,3.266666666666667,1.2244897959183674
random_forest_depth_none_leaf_8,0.1,40,5,24,0.20833333333333334,35,0.125,0.10204081632653061,2.0416666666666665,2.4489795918367347
random_forest_depth_none_leaf_8,0.2,79,7,24,0.2916666666666667,72,0.08860759493670886,0.20153061224489796,1.4472573839662448,4.836734693877551
h1_l2_c_0.1,0.05,20,1,24,0.041666666666666664,19,0.05,0.05102040816326531,0.8166666666666668,1.2244897959183674
h1_l2_c_0.1,0.1,40,3,24,0.125,37,0.075,0.10204081632653061,1.225,2.4489795918367347
h1_l2_c_0.1,0.2,79,6,24,0.25,73,0.0759493670886076,0.20153061224489796,1.2405063291139242,4.836734693877551
h2_rf_f40,0.05,20,2,24,0.08333333333333333,18,0.1,0.05102040816326531,1.6333333333333335,1.2244897959183674
h2_rf_f40,0.1,40,3,24,0.125,37,0.075,0.10204081632653061,1.225,2.4489795918367347
h2_rf_f40,0.2,79,6,24,0.25,73,0.0759493670886076,0.20153061224489796,1.2405063291139242,4.836734693877551
