candidate,fold,train_n,val_n,val_fail,train_end,val_start,val_end,ap,k_fraction,inspection_count,captured_fail,total_fail,fail_capture_rate,false_inspections,precision,inspection_burden,lift
dummy_prior,1,587,196,4,2008-08-30 15:06:00,2008-08-30 15:16:00,2008-09-11 07:43:00,0.02040816326530612,0.1,20.0,2.0,4.0,0.5,18.0,0.1,0.10204081632653061,4.9
dummy_prior,2,783,196,9,2008-09-11 07:43:00,2008-09-11 08:06:00,2008-09-21 08:22:00,0.04591836734693878,0.1,20.0,2.0,9.0,0.2222222222222222,18.0,0.1,0.10204081632653061,2.1777777777777776
dummy_prior,3,979,196,4,2008-09-21 08:22:00,2008-09-21 08:49:00,2008-09-29 11:13:00,0.02040816326530612,0.1,20.0,0.0,4.0,0.0,20.0,0.0,0.10204081632653061,0.0
l1_logistic_c_0.01,1,587,196,4,2008-08-30 15:06:00,2008-08-30 15:16:00,2008-09-11 07:43:00,0.02040816326530612,0.1,20.0,2.0,4.0,0.5,18.0,0.1,0.10204081632653061,4.9
l1_logistic_c_0.01,2,783,196,9,2008-09-11 07:43:00,2008-09-11 08:06:00,2008-09-21 08:22:00,0.18259842451726335,0.1,20.0,3.0,9.0,0.3333333333333333,17.0,0.15,0.10204081632653061,3.266666666666666
l1_logistic_c_0.01,3,979,196,4,2008-09-21 08:22:00,2008-09-21 08:49:00,2008-09-29 11:13:00,0.02955205435902605,0.1,20.0,0.0,4.0,0.0,20.0,0.0,0.10204081632653061,0.0
random_forest_depth_none_leaf_8,1,587,196,4,2008-08-30 15:06:00,2008-08-30 15:16:00,2008-09-11 07:43:00,0.02511374290532124,0.1,20.0,0.0,4.0,0.0,20.0,0.0,0.10204081632653061,0.0
random_forest_depth_none_leaf_8,2,783,196,9,2008-09-11 07:43:00,2008-09-11 08:06:00,2008-09-21 08:22:00,0.09461500485302571,0.1,20.0,3.0,9.0,0.3333333333333333,17.0,0.15,0.10204081632653061,3.266666666666666
random_forest_depth_none_leaf_8,3,979,196,4,2008-09-21 08:22:00,2008-09-21 08:49:00,2008-09-29 11:13:00,0.03422928422928423,0.1,20.0,0.0,4.0,0.0,20.0,0.0,0.10204081632653061,0.0
h1_l2_c_0.1,1,587,196,4,2008-08-30 15:06:00,2008-08-30 15:16:00,2008-09-11 07:43:00,0.022461982316618254,0.1,20.0,0.0,4.0,0.0,20.0,0.0,0.10204081632653061,0.0
h1_l2_c_0.1,2,783,196,9,2008-09-11 07:43:00,2008-09-11 08:06:00,2008-09-21 08:22:00,0.08974438906334088,0.1,20.0,3.0,9.0,0.3333333333333333,17.0,0.15,0.10204081632653061,3.266666666666666
h1_l2_c_0.1,3,979,196,4,2008-09-21 08:22:00,2008-09-21 08:49:00,2008-09-29 11:13:00,0.02040766673140381,0.1,20.0,0.0,4.0,0.0,20.0,0.0,0.10204081632653061,0.0
h2_rf_f40,1,587,196,4,2008-08-30 15:06:00,2008-08-30 15:16:00,2008-09-11 07:43:00,0.017838410273348947,0.1,20.0,0.0,4.0,0.0,20.0,0.0,0.10204081632653061,0.0
h2_rf_f40,2,783,196,9,2008-09-11 07:43:00,2008-09-11 08:06:00,2008-09-21 08:22:00,0.2174692823847969,0.1,20.0,3.0,9.0,0.3333333333333333,17.0,0.15,0.10204081632653061,3.266666666666666
h2_rf_f40,3,979,196,4,2008-09-21 08:22:00,2008-09-21 08:49:00,2008-09-29 11:13:00,0.07327607131823999,0.1,20.0,2.0,4.0,0.5,18.0,0.1,0.10204081632653061,4.9
