feature,top20_frequency,median_rank,rank_iqr,median_importance,positive_sign_rate,top20_rate
feature_059,25,1.0,0.0,0.035090863028114545,,1.0
feature_519,25,4.0,2.0,0.012508838525359282,,1.0
feature_247,24,5.0,4.5,0.01146811778941714,,0.96
feature_477,21,8.0,6.0,0.011118415088878657,,0.84
feature_033,21,9.0,7.0,0.008554913000521152,,0.84
feature_205,19,7.0,5.5,0.009529773158846884,,0.76
feature_000,18,9.5,7.5,0.007965023442189323,,0.72
feature_103,17,7.0,9.0,0.011085886918113021,,0.68
feature_341,16,9.0,9.5,0.009154073534019192,,0.64
feature_460,14,8.0,9.25,0.010235204363333368,,0.56
feature_064,14,9.0,4.0,0.008798049409040547,,0.56
feature_065,14,9.5,8.0,0.00804767897658534,,0.56
feature_290,12,15.0,8.75,0.007517892265844817,,0.48
feature_468,11,10.0,5.5,0.008302203295047989,,0.44
feature_129,10,6.5,7.5,0.009250919594621895,,0.4
feature_351,9,8.0,2.0,0.008376991120579623,,0.36
feature_213,9,10.0,9.0,0.008314936966220873,,0.36
feature_021,9,13.0,7.0,0.0076998052626369015,,0.36
feature_385,8,10.5,2.75,0.008503623259161718,,0.32
feature_079,7,10.0,5.5,0.008795034898641037,,0.28
feature_510,7,10.0,7.0,0.008337054042378762,,0.28
feature_152,7,13.0,9.5,0.00817149545521373,,0.28
feature_426,7,14.0,5.0,0.007412348891091528,,0.28
feature_028,6,7.5,7.75,0.00888178990485699,,0.24
feature_333,6,15.5,4.75,0.006873824547308033,,0.24
feature_420,6,17.0,5.0,0.006820813568183218,,0.24
feature_153,5,9.0,4.0,0.007771067447536038,,0.2
feature_425,5,11.0,3.0,0.00797273891535078,,0.2
feature_112,5,12.0,10.0,0.008242292015252485,,0.2
feature_282,5,12.0,3.0,0.008181058463659687,,0.2
feature_428,5,13.0,11.0,0.00799010922576735,,0.2
feature_155,5,15.0,2.0,0.006731687324027403,,0.2
feature_348,5,17.0,3.0,0.0069304423227445735,,0.2
feature_031,5,18.0,2.0,0.00648610075715381,,0.2
feature_090,5,19.0,8.0,0.007028738340506551,,0.2
feature_010,4,11.5,4.75,0.008140524518543087,,0.16
