rank,sample_id,timestamp,risk_score,prediction,label,suggested_features,evidence_scope,model,limitation
1,secom_1397,2008-10-07 11:16:00,0.28177356090705113,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
2,secom_1326,2008-10-05 16:15:00,0.2748489037001845,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
3,secom_1458,2008-10-11 07:39:00,0.2668209718877065,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
4,secom_1192,2008-09-30 08:44:00,0.2243506020867065,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
5,secom_1207,2008-09-30 23:58:00,0.20787126739246922,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
6,secom_1363,2008-10-06 13:38:00,0.20443996410351065,0,1,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
7,secom_1565,2008-10-17 06:01:00,0.2020127839979176,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
8,secom_1489,2008-10-13 20:53:00,0.19625356094711324,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
9,secom_1292,2008-10-04 15:16:00,0.1894619882064492,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
10,secom_1323,2008-10-05 14:34:00,0.18934141238159002,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
11,secom_1233,2008-10-02 07:35:00,0.18612806277883212,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
12,secom_1513,2008-10-15 00:47:00,0.18540501514878813,0,0,feature_059;feature_247;feature_519;feature_065;feature_475,global_model_importance,random_forest_depth_none_leaf_8,"Anonymous variables are inspection candidates, not proven physical causes."
