board_id,pad_id,value,timestamp,lot_id,recipe_id
DEMO-001,P01,99,2026-09-01T00:00:00Z,DEMO-LOT,R-DEMO
DEMO-002,P01,101,2026-09-01T00:00:01Z,DEMO-LOT,R-DEMO
DEMO-003,P01,99,2026-09-01T00:00:02Z,DEMO-LOT,R-DEMO
DEMO-004,P01,101,2026-09-01T00:00:03Z,DEMO-LOT,R-DEMO
DEMO-005,P01,99,2026-09-01T00:00:04Z,DEMO-LOT,R-DEMO
DEMO-006,P01,101,2026-09-01T00:00:05Z,DEMO-LOT,R-DEMO
DEMO-007,P01,99,2026-09-01T00:00:06Z,DEMO-LOT,R-DEMO
DEMO-008,P01,101,2026-09-01T00:00:07Z,DEMO-LOT,R-DEMO
DEMO-009,P01,99,2026-09-01T00:00:08Z,DEMO-LOT,R-DEMO
DEMO-010,P01,101,2026-09-01T00:00:09Z,DEMO-LOT,R-DEMO
DEMO-011,P01,100,2026-09-01T00:00:10Z,DEMO-LOT,R-DEMO
DEMO-012,P01,110,2026-09-01T00:00:11Z,DEMO-LOT,R-DEMO
DEMO-013,P01,90,2026-09-01T00:00:12Z,DEMO-LOT,R-DEMO
